/cm/local/apps/slurm/var/spool/job851027/slurm_script: line 12: activate: No such file or directory
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 94, Total Reward: 0.0, Epsilon: 0.995368749999996
Episode 95, Total Reward: 0.0, Epsilon: 0.995319999999996
Episode 96, Total Reward: 6.0, Epsilon: 0.9952712499999959
Episode 97, Total Reward: 0.0, Epsilon: 0.9952224999999959
Episode 98, Total Reward: 0.0, Epsilon: 0.9951737499999959
Episode 99, Total Reward: 6.0, Epsilon: 0.9951249999999958
Episode 100, Total Reward: 0.0, Epsilon: 0.9950762499999958
Episode 101, Total Reward: 0.0, Epsilon: 0.9950274999999957
Episode 102, Total Reward: 6.0, Epsilon: 0.9949787499999957
Episode 103, Total Reward: 0.0, Epsilon: 0.9949299999999957
Episode 104, Total Reward: 0.0, Epsilon: 0.9948812499999956
Episode 105, Total Reward: 6.0, Epsilon: 0.9948324999999956
Episode 106, Total Reward: 0.0, Epsilon: 0.9947837499999955
Episode 107, Total Reward: 0.0, Epsilon: 0.9947349999999955
Episode 108, Total Reward: 6.0, Epsilon: 0.9946862499999954
Episode 109, Total Reward: 0.0, Epsilon: 0.9946374999999954
Episode 110, Total Reward: 0.0, Epsilon: 0.9945887499999954
Episode 111, Total Reward: 6.0, Epsilon: 0.9945399999999953
Episode 112, Total Reward: 0.0, Epsilon: 0.9944912499999953
Episode 113, Total Reward: 0.0, Epsilon: 0.9944424999999952
Episode 114, Total Reward: 6.0, Epsilon: 0.9943937499999952
Episode 115, Total Reward: 0.0, Epsilon: 0.9943449999999951
Episode 116, Total Reward: 0.0, Epsilon: 0.9942962499999951
Episode 117, Total Reward: 6.0, Epsilon: 0.9942474999999951
Episode 118, Total Reward: 0.0, Epsilon: 0.994198749999995
Episode 119, Total Reward: 0.0, Epsilon: 0.994149999999995
Episode 120, Total Reward: 6.0, Epsilon: 0.9941012499999949
Episode 121, Total Reward: 0.0, Epsilon: 0.9940524999999949
Episode 122, Total Reward: 0.0, Epsilon: 0.9940037499999949
Episode 123, Total Reward: 6.0, Epsilon: 0.9939549999999948
Episode 124, Total Reward: 0.0, Epsilon: 0.9939062499999948
Episode 125, Total Reward: 0.0, Epsilon: 0.9938574999999947
Episode 126, Total Reward: 6.0, Epsilon: 0.9938087499999947
Episode 127, Total Reward: 0.0, Epsilon: 0.9937599999999946
Episode 128, Total Reward: 0.0, Epsilon: 0.9937112499999946
Episode 129, Total Reward: 6.0, Epsilon: 0.9936624999999946
Episode 130, Total Reward: 0.0, Epsilon: 0.9936137499999945
Episode 131, Total Reward: 0.0, Epsilon: 0.9935649999999945
Episode 132, Total Reward: 6.0, Epsilon: 0.9935162499999944
Episode 133, Total Reward: 0.0, Epsilon: 0.9934674999999944
Episode 134, Total Reward: 0.0, Epsilon: 0.9934187499999944
Episode 135, Total Reward: 6.0, Epsilon: 0.9933699999999943
Episode 136, Total Reward: 0.0, Epsilon: 0.9933212499999943
Episode 137, Total Reward: 0.0, Epsilon: 0.9932724999999942
Episode 138, Total Reward: 6.0, Epsilon: 0.9932237499999942
Episode 139, Total Reward: 0.0, Epsilon: 0.9931749999999941
Episode 140, Total Reward: 0.0, Epsilon: 0.9931262499999941
Episode 141, Total Reward: 6.0, Epsilon: 0.9930774999999941
Episode 142, Total Reward: 0.0, Epsilon: 0.993028749999994
Episode 143, Total Reward: 0.0, Epsilon: 0.992979999999994
Episode 144, Total Reward: 6.0, Epsilon: 0.9929312499999939
Episode 145, Total Reward: 0.0, Epsilon: 0.9928824999999939
Episode 146, Total Reward: 0.0, Epsilon: 0.9928337499999939
Episode 147, Total Reward: 6.0, Epsilon: 0.9927849999999938
Episode 148, Total Reward: 0.0, Epsilon: 0.9927362499999938
Episode 149, Total Reward: 0.0, Epsilon: 0.9926874999999937
Episode 150, Total Reward: 6.0, Epsilon: 0.9926387499999937
Episode 151, Total Reward: 0.0, Epsilon: 0.9925899999999936
Episode 152, Total Reward: 0.0, Epsilon: 0.9925412499999936
Episode 153, Total Reward: 6.0, Epsilon: 0.9924924999999936
Episode 154, Total Reward: 0.0, Epsilon: 0.9924437499999935
Episode 155, Total Reward: 0.0, Epsilon: 0.9923949999999935
Episode 156, Total Reward: 6.0, Epsilon: 0.9923462499999934
Episode 157, Total Reward: 0.0, Epsilon: 0.9922974999999934
Episode 158, Total Reward: 0.0, Epsilon: 0.9922487499999934
Episode 159, Total Reward: 6.0, Epsilon: 0.9921999999999933
Episode 160, Total Reward: 0.0, Epsilon: 0.9921512499999933
Episode 161, Total Reward: 0.0, Epsilon: 0.9921024999999932
Episode 162, Total Reward: 6.0, Epsilon: 0.9920537499999932
Episode 163, Total Reward: 0.0, Epsilon: 0.9920049999999931
Episode 164, Total Reward: 0.0, Epsilon: 0.9919562499999931
Episode 165, Total Reward: 6.0, Epsilon: 0.9919074999999931
Episode 166, Total Reward: 0.0, Epsilon: 0.991858749999993
Episode 167, Total Reward: 0.0, Epsilon: 0.991809999999993
Episode 168, Total Reward: 6.0, Epsilon: 0.9917612499999929
Episode 169, Total Reward: 0.0, Epsilon: 0.9917124999999929
Episode 170, Total Reward: 0.0, Epsilon: 0.9916637499999928
Episode 171, Total Reward: 6.0, Epsilon: 0.9916149999999928
Episode 172, Total Reward: 0.0, Epsilon: 0.9915662499999928
Episode 173, Total Reward: 0.0, Epsilon: 0.9915174999999927
Episode 174, Total Reward: 6.0, Epsilon: 0.9914687499999927
Episode 175, Total Reward: 0.0, Epsilon: 0.9914199999999926
Episode 176, Total Reward: 0.0, Epsilon: 0.9913712499999926
Episode 177, Total Reward: 6.0, Epsilon: 0.9913224999999926
Episode 178, Total Reward: 0.0, Epsilon: 0.9912737499999925
Episode 179, Total Reward: 0.0, Epsilon: 0.9912249999999925
Episode 180, Total Reward: 6.0, Epsilon: 0.9911762499999924
Episode 181, Total Reward: 0.0, Epsilon: 0.9911274999999924
Episode 182, Total Reward: 0.0, Epsilon: 0.9910787499999923
Episode 183, Total Reward: 6.0, Epsilon: 0.9910299999999923
Episode 184, Total Reward: 0.0, Epsilon: 0.9909812499999923
Episode 185, Total Reward: 0.0, Epsilon: 0.9909324999999922
Episode 186, Total Reward: 6.0, Epsilon: 0.9908837499999922
Episode 187, Total Reward: 0.0, Epsilon: 0.9908349999999921
Episode 188, Total Reward: 0.0, Epsilon: 0.9907862499999921
Episode 189, Total Reward: 6.0, Epsilon: 0.990737499999992
Episode 190, Total Reward: 0.0, Epsilon: 0.990688749999992
Episode 191, Total Reward: 0.0, Epsilon: 0.990639999999992
Episode 192, Total Reward: 6.0, Epsilon: 0.9905912499999919
Episode 193, Total Reward: 0.0, Epsilon: 0.9905424999999919
Episode 194, Total Reward: 0.0, Epsilon: 0.9904937499999918
Episode 195, Total Reward: 6.0, Epsilon: 0.9904449999999918
Episode 196, Total Reward: 0.0, Epsilon: 0.9903962499999918
Episode 197, Total Reward: 0.0, Epsilon: 0.9903474999999917
Episode 198, Total Reward: 6.0, Epsilon: 0.9902987499999917
Episode 199, Total Reward: 0.0, Epsilon: 0.9902499999999916
Episode 200, Total Reward: 0.0, Epsilon: 0.9902012499999916
Episode 201, Total Reward: 6.0, Epsilon: 0.9901524999999916
Episode 202, Total Reward: 0.0, Epsilon: 0.9901037499999915
Episode 203, Total Reward: 0.0, Epsilon: 0.9900549999999915
Episode 204, Total Reward: 6.0, Epsilon: 0.9900062499999914
Episode 205, Total Reward: 0.0, Epsilon: 0.9899574999999914
Episode 206, Total Reward: 0.0, Epsilon: 0.9899087499999913
Episode 207, Total Reward: 6.0, Epsilon: 0.9898599999999913
Episode 208, Total Reward: 0.0, Epsilon: 0.9898112499999913
Episode 209, Total Reward: 0.0, Epsilon: 0.9897624999999912
Episode 210, Total Reward: 6.0, Epsilon: 0.9897137499999912
Episode 211, Total Reward: 0.0, Epsilon: 0.9896649999999911
Episode 212, Total Reward: 0.0, Epsilon: 0.9896162499999911
Episode 213, Total Reward: 6.0, Epsilon: 0.989567499999991
Episode 214, Total Reward: 0.0, Epsilon: 0.989518749999991
Episode 215, Total Reward: 0.0, Epsilon: 0.989469999999991
Episode 216, Total Reward: 6.0, Epsilon: 0.9894212499999909
Episode 217, Total Reward: 0.0, Epsilon: 0.9893724999999909
Episode 218, Total Reward: 0.0, Epsilon: 0.9893237499999908
Episode 219, Total Reward: 6.0, Epsilon: 0.9892749999999908
Episode 220, Total Reward: 0.0, Epsilon: 0.9892262499999908
Episode 221, Total Reward: 0.0, Epsilon: 0.9891774999999907
Episode 222, Total Reward: 6.0, Epsilon: 0.9891287499999907
Episode 223, Total Reward: 0.0, Epsilon: 0.9890799999999906
Episode 224, Total Reward: 0.0, Epsilon: 0.9890312499999906
Episode 225, Total Reward: 6.0, Epsilon: 0.9889824999999905
Episode 226, Total Reward: 0.0, Epsilon: 0.9889337499999905
Episode 227, Total Reward: 0.0, Epsilon: 0.9888849999999905
Episode 228, Total Reward: 6.0, Epsilon: 0.9888362499999904
