/home/rsaadatifard/anaconda/envs/envRL/lib/python3.8/site-packages/google/protobuf/internal/api_implementation.py:87: UserWarning: Selected implementation cpp is not available.
  warnings.warn(
python version: 3.8.20 (default, Oct  3 2024, 15:24:27) 
[GCC 11.2.0]'
GPU available: True
running on cuda


----------------------------------------------
INFO:
----------------------------------------------
GAME: roms/ms_pacman.bin
DEVICE: cuda
NAME: FRANKbootstrap_fasteranneal_pong
DUELING: False
DOUBLE_DQN: True
PRIOR: True
PRIOR_SCALE: 1
N_ENSEMBLE: 1
LEARN_EVERY_STEPS: 4
BERNOULLI_PROBABILITY: 1.0
TARGET_UPDATE: 10000
MIN_HISTORY_TO_LEARN: 50000
NORM_BY: 255.0
EPS_INITIAL: 1.0
EPS_FINAL: 0.01
EPS_EVAL: 0.0
EPS_ANNEALING_FRAMES: 1000000
EPS_FINAL_FRAME: 0.01
NUM_EVAL_EPISODES: 5
BUFFER_SIZE: 1000000
CHECKPOINT_EVERY_STEPS: 10000000
EVAL_FREQUENCY: 250000
ADAM_LEARNING_RATE: 6.25e-05
RMS_LEARNING_RATE: 0.00025
RMS_DECAY: 0.95
RMS_MOMENTUM: 0.0
RMS_EPSILON: 1e-05
RMS_CENTERED: True
HISTORY_SIZE: 4
N_EPOCHS: 90000
BATCH_SIZE: 32
GAMMA: 0.99
PLOT_EVERY_EPISODES: 50
CLIP_GRAD: 5
SEED: 101
RANDOM_HEAD: -1
NETWORK_INPUT_SIZE: (84, 84)
START_TIME: 1733400504.4129055
MAX_STEPS: 200000
MAX_EPISODE_STEPS: 27000
FRAME_SKIP: 4
MAX_NO_OP_FRAMES: 30
DEAD_AS_END: True
IMPROVEMENT: ['swin', '']
----------------------------------------------


----------------------------------------------
starting NEW project: model_savedir/ms_pacman08
Training Progress:   0%|          | 0/200000 [00:00<?, ?step/s]step : 0
Step: 50276, Avg Reward (last 30): 232.33, Loss: 0.0745
Step: 50280, Avg Reward (last 30): 232.33, Loss: 0.0720
Step: 50284, Avg Reward (last 30): 232.33, Loss: 0.0703
Step: 50288, Avg Reward (last 30): 232.33, Loss: 0.0675
Step: 50292, Avg Reward (last 30): 232.33, Loss: 0.0665
Step: 50296, Avg Reward (last 30): 232.33, Loss: 0.0639
Step: 50300, Avg Reward (last 30): 232.33, Loss: 0.0630
Step: 50304, Avg Reward (last 30): 232.33, Loss: 0.0622
Step: 50308, Avg Reward (last 30): 232.33, Loss: 0.0619
Step: 50312, Avg Reward (last 30): 232.33, Loss: 0.0608
Step: 50316, Avg Reward (last 30): 232.33, Loss: 0.0594
Step: 50320, Avg Reward (last 30): 232.33, Loss: 0.0581
Step: 50324, Avg Reward (last 30): 232.33, Loss: 0.0562
Step: 50328, Avg Reward (last 30): 232.33, Loss: 0.0561
Step: 50332, Avg Reward (last 30): 232.33, Loss: 0.0549
Step: 50336, Avg Reward (last 30): 232.33, Loss: 0.0533
Step: 50340, Avg Reward (last 30): 232.33, Loss: 0.0519
Step: 50344, Avg Reward (last 30): 232.33, Loss: 0.0516
Step: 50348, Avg Reward (last 30): 232.33, Loss: 0.0502
Step: 50352, Avg Reward (last 30): 232.33, Loss: 0.0492
Step: 50356, Avg Reward (last 30): 232.33, Loss: 0.0487
Step: 50360, Avg Reward (last 30): 232.33, Loss: 0.0492
Step: 50364, Avg Reward (last 30): 232.33, Loss: 0.0483
Step: 50368, Avg Reward (last 30): 232.33, Loss: 0.0481
Step: 50372, Avg Reward (last 30): 232.33, Loss: 0.0479
Step: 50376, Avg Reward (last 30): 232.33, Loss: 0.0479
Step: 50380, Avg Reward (last 30): 232.33, Loss: 0.0475
Step: 50384, Avg Reward (last 30): 232.33, Loss: 0.0472
Step: 50388, Avg Reward (last 30): 232.33, Loss: 0.0471
Step: 50392, Avg Reward (last 30): 232.33, Loss: 0.0467
Step: 50396, Avg Reward (last 30): 232.33, Loss: 0.0459
Step: 50400, Avg Reward (last 30): 232.33, Loss: 0.0451
Step: 50404, Avg Reward (last 30): 232.33, Loss: 0.0451
Step: 50408, Avg Reward (last 30): 232.33, Loss: 0.0456
Step: 50412, Avg Reward (last 30): 232.33, Loss: 0.0449
Step: 50416, Avg Reward (last 30): 232.33, Loss: 0.0442
Step: 50420, Avg Reward (last 30): 232.33, Loss: 0.0444
Step: 50424, Avg Reward (last 30): 232.33, Loss: 0.0455
Step: 50428, Avg Reward (last 30): 232.33, Loss: 0.0454
Step: 50432, Avg Reward (last 30): 232.33, Loss: 0.0450
Step: 50436, Avg Reward (last 30): 232.33, Loss: 0.0446
Step: 50440, Avg Reward (last 30): 232.33, Loss: 0.0439
Step: 50444, Avg Reward (last 30): 232.33, Loss: 0.0440
Step: 50448, Avg Reward (last 30): 232.33, Loss: 0.0436
Step: 50452, Avg Reward (last 30): 232.33, Loss: 0.0432
Step: 50456, Avg Reward (last 30): 232.33, Loss: 0.0431
Step: 50460, Avg Reward (last 30): 232.33, Loss: 0.0427
Step: 50464, Avg Reward (last 30): 232.33, Loss: 0.0422
Step: 50468, Avg Reward (last 30): 232.33, Loss: 0.0418
Step: 50472, Avg Reward (last 30): 232.33, Loss: 0.0421
Step: 50476, Avg Reward (last 30): 232.33, Loss: 0.0416
Step: 50480, Avg Reward (last 30): 232.33, Loss: 0.0421
Step: 50484, Avg Reward (last 30): 232.33, Loss: 0.0423
Step: 50488, Avg Reward (last 30): 232.33, Loss: 0.0440
Step: 50492, Avg Reward (last 30): 232.33, Loss: 0.0443
Step: 50496, Avg Reward (last 30): 232.33, Loss: 0.0445
Step: 50500, Avg Reward (last 30): 232.33, Loss: 0.0451
Step: 50504, Avg Reward (last 30): 232.33, Loss: 0.0451
Step: 50508, Avg Reward (last 30): 232.33, Loss: 0.0452
Step: 50512, Avg Reward (last 30): 232.33, Loss: 0.0458
Step: 50516, Avg Reward (last 30): 232.33, Loss: 0.0456
Step: 50520, Avg Reward (last 30): 232.33, Loss: 0.0452
Step: 50524, Avg Reward (last 30): 232.33, Loss: 0.0447
Step: 50528, Avg Reward (last 30): 232.33, Loss: 0.0442
Step: 50532, Avg Reward (last 30): 232.33, Loss: 0.0443
Step: 50536, Avg Reward (last 30): 232.33, Loss: 0.0443
Step: 50540, Avg Reward (last 30): 232.33, Loss: 0.0446
Step: 50544, Avg Reward (last 30): 232.33, Loss: 0.0443
Step: 50548, Avg Reward (last 30): 232.33, Loss: 0.0439
Step: 50552, Avg Reward (last 30): 232.33, Loss: 0.0438
Step: 50556, Avg Reward (last 30): 232.33, Loss: 0.0438
Step: 50560, Avg Reward (last 30): 232.33, Loss: 0.0436
Step: 50564, Avg Reward (last 30): 232.33, Loss: 0.0435
Step: 50568, Avg Reward (last 30): 232.33, Loss: 0.0432
Step: 50572, Avg Reward (last 30): 232.33, Loss: 0.0433
Step: 50576, Avg Reward (last 30): 232.33, Loss: 0.0432
Step: 50580, Avg Reward (last 30): 232.33, Loss: 0.0429
Step: 50584, Avg Reward (last 30): 232.33, Loss: 0.0428
Step: 50588, Avg Reward (last 30): 232.33, Loss: 0.0426
Step: 50592, Avg Reward (last 30): 232.33, Loss: 0.0424
Step: 50596, Avg Reward (last 30): 232.33, Loss: 0.0420
Step: 50600, Avg Reward (last 30): 232.33, Loss: 0.0419
Step: 50604, Avg Reward (last 30): 232.33, Loss: 0.0418
Step: 50608, Avg Reward (last 30): 232.33, Loss: 0.0419
Step: 50612, Avg Reward (last 30): 232.33, Loss: 0.0417
Step: 50616, Avg Reward (last 30): 232.33, Loss: 0.0416
Step: 50620, Avg Reward (last 30): 232.33, Loss: 0.0413
Step: 50624, Avg Reward (last 30): 232.33, Loss: 0.0415
Step: 50628, Avg Reward (last 30): 232.33, Loss: 0.0411
Step: 50632, Avg Reward (last 30): 232.33, Loss: 0.0408
Step: 50636, Avg Reward (last 30): 232.33, Loss: 0.0404
Step: 50640, Avg Reward (last 30): 232.33, Loss: 0.0401
Step: 50644, Avg Reward (last 30): 232.33, Loss: 0.0400
Step: 50648, Avg Reward (last 30): 232.33, Loss: 0.0402
Step: 50652, Avg Reward (last 30): 232.33, Loss: 0.0401
Step: 50656, Avg Reward (last 30): 232.33, Loss: 0.0398
Step: 50660, Avg Reward (last 30): 232.33, Loss: 0.0400
Step: 50664, Avg Reward (last 30): 232.33, Loss: 0.0400
Step: 50668, Avg Reward (last 30): 232.33, Loss: 0.0403
Step: 50672, Avg Reward (last 30): 232.33, Loss: 0.0403
Step: 50676, Avg Reward (last 30): 232.33, Loss: 0.0403
Step: 50680, Avg Reward (last 30): 232.33, Loss: 0.0402
Step: 50684, Avg Reward (last 30): 232.33, Loss: 0.0404
Step: 50688, Avg Reward (last 30): 232.33, Loss: 0.0405
Step: 50692, Avg Reward (last 30): 232.33, Loss: 0.0408
Step: 50696, Avg Reward (last 30): 232.33, Loss: 0.0410
Step: 50700, Avg Reward (last 30): 232.33, Loss: 0.0411
Step: 50704, Avg Reward (last 30): 232.33, Loss: 0.0417
Step: 50708, Avg Reward (last 30): 232.33, Loss: 0.0415
Step: 50712, Avg Reward (last 30): 232.33, Loss: 0.0416
Step: 50716, Avg Reward (last 30): 232.33, Loss: 0.0420
Step: 50720, Avg Reward (last 30): 231.67, Loss: 0.0498
Step: 50724, Avg Reward (last 30): 231.67, Loss: 0.0830
Step: 50728, Avg Reward (last 30): 231.67, Loss: 0.0775
Step: 50732, Avg Reward (last 30): 231.67, Loss: 0.0656
Step: 50736, Avg Reward (last 30): 231.67, Loss: 0.0539
Step: 50740, Avg Reward (last 30): 231.67, Loss: 0.0511
Step: 50744, Avg Reward (last 30): 231.67, Loss: 0.0442
Step: 50748, Avg Reward (last 30): 231.67, Loss: 0.0390
Step: 50752, Avg Reward (last 30): 231.67, Loss: 0.0381
Step: 50756, Avg Reward (last 30): 231.67, Loss: 0.0347
Step: 50760, Avg Reward (last 30): 231.67, Loss: 0.0356
Step: 50764, Avg Reward (last 30): 231.67, Loss: 0.0343
Step: 50768, Avg Reward (last 30): 231.67, Loss: 0.0364
Step: 50772, Avg Reward (last 30): 231.67, Loss: 0.0373
Step: 50776, Avg Reward (last 30): 231.67, Loss: 0.0386
Step: 50780, Avg Reward (last 30): 231.67, Loss: 0.0374
Step: 50784, Avg Reward (last 30): 231.67, Loss: 0.0355
Step: 50788, Avg Reward (last 30): 231.67, Loss: 0.0351
Step: 50792, Avg Reward (last 30): 231.67, Loss: 0.0354
Step: 50796, Avg Reward (last 30): 231.67, Loss: 0.0359
Step: 50800, Avg Reward (last 30): 231.67, Loss: 0.0351
Step: 50804, Avg Reward (last 30): 231.67, Loss: 0.0344
Step: 50808, Avg Reward (last 30): 231.67, Loss: 0.0338
Step: 50812, Avg Reward (last 30): 231.67, Loss: 0.0330
Step: 50816, Avg Reward (last 30): 231.67, Loss: 0.0320
Step: 50820, Avg Reward (last 30): 231.67, Loss: 0.0325
Step: 50824, Avg Reward (last 30): 231.67, Loss: 0.0331
Step: 50828, Avg Reward (last 30): 231.67, Loss: 0.0336
Step: 50832, Avg Reward (last 30): 231.67, Loss: 0.0341
Step: 50836, Avg Reward (last 30): 231.67, Loss: 0.0345
Step: 50840, Avg Reward (last 30): 231.67, Loss: 0.0350
Step: 50844, Avg Reward (last 30): 231.67, Loss: 0.0351
Step: 50848, Avg Reward (last 30): 231.67, Loss: 0.0348
Step: 50852, Avg Reward (last 30): 231.67, Loss: 0.0347
Step: 50856, Avg Reward (last 30): 231.67, Loss: 0.0345
Step: 50860, Avg Reward (last 30): 231.67, Loss: 0.0340
Step: 50864, Avg Reward (last 30): 231.67, Loss: 0.0339
Step: 50868, Avg Reward (last 30): 231.67, Loss: 0.0337
Step: 50872, Avg Reward (last 30): 231.67, Loss: 0.0329
Step: 50876, Avg Reward (last 30): 231.67, Loss: 0.0330
Step: 50880, Avg Reward (last 30): 231.67, Loss: 0.0326
Step: 50884, Avg Reward (last 30): 231.67, Loss: 0.0322
Step: 50888, Avg Reward (last 30): 231.67, Loss: 0.0319
